id_inequality,rb_id,rb_name,province_id,s_industry,s_prot,s_german,longitud,latitud,slope_km,soil_suitability,mean_temp,mean_preci,dist_100km,log_distance_carbon_c,NAME,county_name,uni_dummy,min_distance_uni,prov_cap_dummy,BER_dummy,density
535.0,2.0,Arnsberg,10.0,65.43934183019758,58.9826435246996,96.3958588179133,7.3332717525,51.4422391097,0.059,2.0,9.71,80.306,0.01,0.0,WITTEN,Witten,0,0.5856954153451287,0,0,52.77488984603198
536.0,2.0,Arnsberg,10.0,74.2772592761211,42.131695452079725,88.8975343761866,7.2470788297,51.5538210052,0.056,2.111431081079131,10.072,74.408,0.133,2.23862768335851,HERNE,Herne,0,0.5456159210706547,0,0,52.77488984603198
538.0,2.0,Arnsberg,10.0,73.35870944353815,47.86948493625858,91.92635711384865,7.1024326284,51.524687019,0.046,2.0,10.409,73.953,0.105,1.815213222136486,GELSENKIRCHEN,Gelsenkirchen Stadt,0,0.6708367279419026,0,0,52.77488984603198
539.0,2.0,Arnsberg,10.0,74.36811698862611,45.163494863980915,83.59117814426192,7.1679893319,51.5006421987,0.053,2.0,10.198,76.883,0.083,1.2241376531336736,GELSENKIRCHEN,Gelsenkirchen Land,0,0.6387434706060654,0,0,52.77488984603198
540.0,2.0,Arnsberg,10.0,68.97452832897798,59.160356324555366,96.31926435399207,7.2173259488,51.382621637,0.07,2.902969856668779,9.438,86.205,0.046,0.0,HATTINGEN,Hattingen,0,0.6505137482241872,0,0,52.77488984603198
542.0,2.0,Arnsberg,10.0,59.38786674728629,64.53473280288922,99.48826365288865,7.4879525105,51.3499436923,0.074,2.018150921641155,9.222,84.933,0.096,0.0,HAGEN,Hagen Stadt,0,0.618057264751992,0,0,52.77488984603198
543.0,2.0,Arnsberg,10.0,65.47939385356182,72.88978545782109,98.78607067537678,7.4504385844,51.3458289124,0.083,2.4,8.962,88.181,0.079,0.0,HAGEN,Hagen Land,0,0.6309738637000496,0,0,52.77488984603198
544.0,2.0,Arnsberg,10.0,71.5357867284845,84.8151325097196,99.1665154201628,7.3243281209,51.304149895,0.093,3.0,8.78,94.111,0.111,0.0,SCHWELM,Schwelm,0,0.6007677779498111,0,0,52.77488984603198
545.0,2.0,Arnsberg,10.0,66.82435832913941,55.09956877755705,99.44097490234604,7.7239308422,51.4002933305,0.09,1.8,8.783,83.492,0.244,0.0,ISERLOHN,Iserlohn Stadt,0,0.5640223331056258,0,0,52.77488984603198
549.0,2.0,Arnsberg,10.0,62.90448583528638,83.30364025695931,99.49186991869918,7.6960819179,51.2021224752,0.117,2.538461538461538,8.062,97.345,0.314,2.992686133999686,LUDENSCHEID,Luedenscheid,0,0.739644982478718,0,0,52.77488984603198
550.0,2.0,Arnsberg,10.0,41.37293986095581,5.479424809562641,99.77658515262634,7.9895305893,51.0744252571,0.126,2.916666666666667,7.801,94.977,0.562,2.300490515527666,OLPE,Olpe,0,0.7898072721058843,0,0,52.77488984603198
551.0,2.0,Arnsberg,10.0,58.181249348211495,78.68551224440033,99.55131914202475,8.0745068668,50.8877955825,0.122,2.818181818181818,7.971,85.918,0.415,2.67994182734697,SIEGEN,Siegen,0,0.6662637354257532,0,0,52.77488984603198
552.0,2.0,Arnsberg,10.0,27.62784090909091,93.96639711077962,99.75555364954113,8.3788051608,51.0167855671,0.141,2.375,6.998,93.028,0.44,1.5962675725808286,WITTGENSTEIN,Wittgenstein,0,0.4088388601239254,0,0,52.77488984603198
554.0,14.0,Kassel,11.0,45.565122953998916,88.57215593096426,99.51336363807836,9.48670607,51.3176796901,0.07,2.327106412468093,8.984,55.966,0.017,3.3350200878793617,KASSEL,Kassel Stadt,0,0.5125682199349781,1,0,61.163250973632124
555.0,14.0,Kassel,11.0,46.127091558563635,97.24441308903783,99.48504580480251,9.5208740269,51.2856333428,0.098,2.125,8.297,62.526,0.018,3.3609053453862856,KASSEL,Kassel Land,0,0.49743966943118495,0,0,61.163250973632124
556.0,14.0,Kassel,11.0,35.95402298850575,94.60272479564033,99.94676295627617,10.0250225699,51.1390424388,0.099,2.909090909090909,8.261,63.879,0.065,3.5862127924544116,ESCHWEGE,Eschwege,0,0.4063812772582568,0,0,61.163250973632124
557.0,14.0,Kassel,11.0,23.977122745270567,87.49540001471995,99.81863523010655,9.274150359,51.1125852938,0.082,1.6,8.512,55.678,0.162,2.0059546378879625,FRITZLAR,Fritzlar,0,0.6112104856024757,0,0,61.163250973632124
558.0,14.0,Kassel,11.0,26.929439278991502,96.61876355748373,99.7867567642416,9.4601449851,51.5071847902,0.087,1.9,8.44,62.833,0.088,3.599180325620309,HOFGEISMAR,Hofgeismar,0,0.4902009385627064,0,0,61.163250973632124
559.0,14.0,Kassel,11.0,19.142564425880686,97.20743481006947,99.66788287024043,9.4217749858,51.0040675942,0.106,2.0,8.269,58.68,0.12,2.831397133674745,HOMBERG,Homberg,0,0.7086656729968086,0,0,61.163250973632124
560.0,14.0,Kassel,11.0,33.7094604692871,95.94522378089513,99.87679820270318,9.5739150785,51.1214043247,0.097,1.75,8.351,60.387,0.02,3.3410719346327475,MELSUNGEN,Melsungen,0,0.5610458980129044,0,0,61.163250973632124
561.0,14.0,Kassel,11.0,28.009471432936145,95.74398574398575,99.80207817911925,9.8091422681,51.0028769924,0.103,2.545454545454545,8.238,62.686,0.043,3.661162388595543,ROTENBURG,Rotenburg Hessen,0,0.5534945635545424,0,0,61.163250973632124
562.0,14.0,Kassel,11.0,41.743604200436955,95.9459874175234,99.88729673160522,9.8352477934,51.2708050699,0.101,2.625,8.004,68.256,0.069,3.896704099780704,WITZENHAUSEN,Witzenhausen,0,0.2908324491480985,0,0,61.163250973632124
563.0,14.0,Kassel,11.0,20.030522701259063,86.75128756235047,99.92069123846893,9.2193369658,51.332426149,0.096,1.833333333333333,7.964,62.556,0.198,2.6691940793237423,WOLFHAGEN,Wolfhagen,0,0.7032551324536858,0,0,61.163250973632124
564.0,14.0,Kassel,11.0,22.30057445564308,89.40527628482103,99.73155975800313,8.737345121,50.8203210398,0.087,1.818181818181818,8.499,60.419,0.155,0.0,MARBURG,Marburg,1,0.0,0,0,61.163250973632124
565.0,14.0,Kassel,11.0,14.86216835414973,95.25947908938264,99.43706279233412,8.878575497,51.080556318,0.109,2.636363636363636,7.667,67.093,0.432,0.9550394004745195,FRANKENBERG,Frankenberg,0,0.29608853257924805,0,0,61.163250973632124
566.0,14.0,Kassel,11.0,19.71563031941524,55.609969392216875,99.93502575764607,8.9664699791,50.843529358,0.092,1.166666666666667,8.475,58.841,0.255,2.803458883768169,KIRCHHAIN,Kirchhain,0,0.2302972571113623,0,0,61.163250973632124
567.0,14.0,Kassel,11.0,19.914369256474522,96.05890836476591,99.82596482657547,9.2967041113,50.8817957591,0.104,1.833333333333333,8.147,60.449,0.279,2.692177973596384,ZIEGENHAIN,Ziegenhain,0,0.5627269507873683,0,0,61.163250973632124
568.0,14.0,Kassel,11.0,29.1277521157153,10.05237424642795,99.78105468019012,9.6411480436,50.5186114965,0.112,1.8,8.189,71.331,0.503,4.121577905245684,FULDA,Fulda,0,0.7882453145030042,0,0,61.163250973632124
569.0,14.0,Kassel,11.0,26.119591270341868,95.71968782685654,99.95699585317156,9.7627239257,50.8630030771,0.098,2.111111111111111,8.34,61.036,0.11,3.672803303264881,HERSFELD,Hersfeld,0,0.7006289032964246,0,0,61.163250973632124
570.0,14.0,Kassel,11.0,15.318926455210875,29.83303852625221,99.88896291361314,9.7886329391,50.7100834507,0.108,2.3,8.229,64.969,0.28,3.731285085334633,HUNFELD,Huenfeld,0,0.84368430329854,0,0,61.163250973632124
572.0,14.0,Kassel,11.0,51.53720313645851,74.18605892399658,99.69176131604517,8.9260029195,50.140989162,0.059,1.0,10.075,56.371,0.024,3.322476282050415,HANAU,Hanau Stadt,0,0.38543670546066666,0,0,61.163250973632124
573.0,14.0,Kassel,11.0,50.663343249979896,78.35654840122646,99.7996364537718,8.9269712122,50.1770136191,0.063,1.25,9.918,57.561,0.059,3.455893081884401,HANAU,Hanau Land,0,0.41206587647854914,0,0,61.163250973632124
574.0,14.0,Kassel,11.0,30.67082953904861,62.47093084159142,99.9041489798713,9.3078336332,50.2293643975,0.102,1.888888888888889,8.465,78.985,0.289,3.782189960145835,GELNHAUSEN,Gelnhausen,0,0.7265615313833659,0,0,61.163250973632124
575.0,14.0,Kassel,11.0,24.111282843894898,67.30697034163434,99.9608443384473,9.5485055244,50.3265893564,0.107,1.7,8.189,79.436,0.305,4.141626556219695,SCHLUCHTERN,Schluechtern,0,0.6677710621185919,0,0,61.163250973632124
